"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 1, 2025 12:23:28 AM PDT","24694934071","Order","114-2827384-2845036","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","PROVO","UT","84604","MarketplaceFacilitator","6.29","0.47","0","0","0","0","0","0","0","0","-0.47","-0.94","-2.47","0","0","2.88"
"Oct 1, 2025 12:27:15 AM PDT","24694934071","Order","111-2957787-0885811","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","HUNTINGTOWN","MD","20639","MarketplaceFacilitator","6.29","0.38","0","0","0","0","0","0","0","0","-0.38","-0.94","-2.47","0","0","2.88"
"Oct 1, 2025 12:45:28 AM PDT","24694934071","Order","113-0870725-9599458","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","NASHVILLE","TN","37207","MarketplaceFacilitator","6.29","0.61","0","0","0","0","0","0","0","0","-0.61","-0.94","-2.47","0","0","2.88"
"Oct 1, 2025 1:19:46 AM PDT","24694934071","Order","111-6461804-4582614","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","STEELE","MO","63877","MarketplaceFacilitator","6.29","0.27","0","0","0","0","0","0","0","0","-0.27","-0.94","-2.47","0","0","2.88"
"Oct 1, 2025 1:51:37 AM PDT","24694934071","Order","113-3228755-5741806","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","SUGAR LAND","TX","77478","MarketplaceFacilitator","6.29","0.52","0","0","0","0","0","0","0","0","-0.52","-0.94","-2.47","0","0","2.88"
"Oct 1, 2025 1:57:55 AM PDT","24694934071","Order","113-4927288-0404210","T-tie-red002","KEOAMG 2Pack Tie Rack Hanger for Closet, Sleek Tie Organizer for Men with 18 Upgraded Folding Hooks, Space-Saving Tie Holder, Tie and Belt Hanger for","1","amazon.com","Standard Orders","Amazon","WELD","ME","04285","MarketplaceFacilitator","12.99","0.71","0","0","0","0","0","0","0","0","-0.71","-1.95","-3.53","0","0","7.51"
"Oct 1, 2025 2:06:34 AM PDT","24694934071","Order","111-7126622-6727438","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","1","amazon.com","Standard Orders","Amazon","MIAMI","FL","33193","MarketplaceFacilitator","14.99","1.05","0","0","0","0","0","0","0","0","-1.05","-2.25","-3.33","0","0","9.41"
"Oct 1, 2025 2:50:07 AM PDT","24694934071","Order","114-1803359-6524212","tie-wall-02white","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Tie Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet, W","1","amazon.com","Standard Orders","Amazon","HILLSBOROUGH","CA","94010","MarketplaceFacilitator","19.99","1.87","0","0","0","0","0","0","0","0","-1.87","-3.00","-3.53","0","0","13.46"
"Oct 1, 2025 2:50:32 AM PDT","24694934071","Order","114-7465725-5191436","T-tie-red002","KEOAMG 2Pack Tie Rack Hanger for Closet, Sleek Tie Organizer for Men with 18 Upgraded Folding Hooks, Space-Saving Tie Holder, Tie and Belt Hanger for","1","amazon.com","Standard Orders","Amazon","DALLAS","TX","75238","MarketplaceFacilitator","12.99","1.07","0","0","0","0","0","0","0","0","-1.07","-1.95","-3.53","0","0","7.51"
"Oct 1, 2025 2:54:08 AM PDT","24694934071","Order","113-3981677-5362649","hook01-white","KEOAMG Over The Door Hooks, Over The Door Towel Rack for Bathroom, Sturdy Door Hanger Hook, Door Hooks for Hanging Clothes, Coats, Towels, White","1","amazon.com","Standard Orders","Amazon","ASHLAND","OR","97520","","25.99","0","0","0","0","0","0","0","0","0","0","-3.90","-5.77","0","0","16.32"
"Oct 1, 2025 3:19:21 AM PDT","24694934071","Order","114-3240413-5965814","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","RICHMOND","VA","23288","MarketplaceFacilitator","13.49","0.81","0","0","0","0","0","0","0","0","-0.81","-2.02","-5.77","0","0","5.70"
"Oct 1, 2025 4:00:39 AM PDT","24694934071","Order","111-2341402-7540266","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","ENGLEWOOD","CO","80112","MarketplaceFacilitator","6.29","0.42","0","0","0","0","0","0","0","0","-0.42","-0.94","-2.47","0","0","2.88"
"Oct 1, 2025 4:04:57 AM PDT","24694934071","Order","113-5137296-9477817","tie-wall-02white","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Tie Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet, W","1","amazon.com","Standard Orders","Amazon","WEDDINGTON","NC","28104","MarketplaceFacilitator","19.99","1.35","0","0","0","0","0","0","0","0","-1.35","-3.00","-3.53","0","0","13.46"
"Oct 1, 2025 4:12:46 AM PDT","24694934071","Order","113-0762030-5225816","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","CANTON","GA","30114","MarketplaceFacilitator","6.29","0.38","0","0","0","0","0","0","0","0","-0.38","-0.94","-2.47","0","0","2.88"
"Oct 1, 2025 4:29:38 AM PDT","24694934071","Order","112-2478934-2509827","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","BRYN MAWR","PA","19010","MarketplaceFacilitator","6.29","0.38","0.75","0","0","0","0","0","-0.75","0","-0.38","-0.94","-2.47","0","0","2.88"
"Oct 1, 2025 4:33:02 AM PDT","24694934071","Order","113-5181458-6875425","hook01-white","KEOAMG Over The Door Hooks, Over The Door Towel Rack for Bathroom, Sturdy Door Hanger Hook, Door Hooks for Hanging Clothes, Coats, Towels, White","1","amazon.com","Standard Orders","Amazon","ASHLAND","OR","97520","","25.99","0","0","0","0","0","0","0","0","0","0","-3.90","-5.77","0","0","16.32"
"Oct 1, 2025 4:41:17 AM PDT","24694934071","Order","111-3153085-5621837","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","SUN CITY WEST","AZ","85375","MarketplaceFacilitator","13.49","0.85","0","0","0","0","0","0","0","0","-0.85","-2.02","-5.77","0","0","5.70"
"Oct 1, 2025 4:55:42 AM PDT","24694934071","Order","112-5106972-4281067","T-tie-red002","KEOAMG 2Pack Tie Rack Hanger for Closet, Sleek Tie Organizer for Men with 18 Upgraded Folding Hooks, Space-Saving Tie Holder, Tie and Belt Hanger for","1","amazon.com","Standard Orders","Amazon","SACRAMENTO","CA","95829","MarketplaceFacilitator","12.99","1.01","0","0","0","0","0","0","0","0","-1.01","-1.95","-3.53","0","0","7.51"
"Oct 1, 2025 5:02:33 AM PDT","24694934071","Order","112-8696349-9907411","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","1","amazon.com","Standard Orders","Amazon","EVANSVILLE","IN","47715","MarketplaceFacilitator","14.99","1.05","1.40","0","0","0","0","0","-1.40","0","-1.05","-2.25","-3.33","0","0","9.41"
"Oct 1, 2025 5:21:40 AM PDT","24694934071","Order","113-7790871-7045845","tie-wall-02white","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Tie Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet, W","1","amazon.com","Standard Orders","Amazon","WEST NYACK","NY","10994","MarketplaceFacilitator","19.99","1.67","0","0","0","0","0","0","0","0","-1.67","-3.00","-3.53","0","0","13.46"
"Oct 1, 2025 5:50:43 AM PDT","24694934071","Order","114-1150152-7999408","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","CARMEL","IN","46033","MarketplaceFacilitator","6.29","0.44","1.49","0","0","0","0","0","-1.49","0","-0.44","-0.94","-2.47","0","0","2.88"
"Oct 1, 2025 6:01:20 AM PDT","24694934071","Order","111-7700079-1950642","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","MARICOPA","AZ","85138","MarketplaceFacilitator","13.49","1.17","0","0","0","0","0","0","0","0","-1.17","-2.02","-5.77","0","0","5.70"
"Oct 1, 2025 6:18:33 AM PDT","24694934071","Order","112-9478314-7339424","T-tie-black01","KEOAMG Tie Rack Hanger for Closet, Sleek Tie Hangers for Men with 18 Upgraded Folding Hooks, Space-Saving Tie Holder Neck Tie Organizer for Men Ties,","1","amazon.com","Standard Orders","Amazon","GULFPORT","MS","39503","MarketplaceFacilitator","7.19","0.50","0","0","0","0","0","0","0","0","-0.50","-1.08","-2.47","0","0","3.64"
"Oct 1, 2025 6:21:55 AM PDT","24694934071","Order","113-4932403-3080256","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","MORROW","OH","45152","MarketplaceFacilitator","6.29","0.42","1.00","0","0","0","0","0","-1.00","0","-0.42","-0.94","-2.47","0","0","2.88"
"Oct 1, 2025 6:35:09 AM PDT","24694934071","Order","112-3371943-1434607","T-tie-red002","KEOAMG 2Pack Tie Rack Hanger for Closet, Sleek Tie Organizer for Men with 18 Upgraded Folding Hooks, Space-Saving Tie Holder, Tie and Belt Hanger for","1","amazon.com","Standard Orders","Amazon","GRAPEVINE","TX","76051","MarketplaceFacilitator","12.99","1.07","0","0","0","0","0","0","0","0","-1.07","-1.95","-3.53","0","0","7.51"
"Oct 1, 2025 6:36:36 AM PDT","24694934071","Order","114-7174806-1371412","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","LONGMONT","CO","80503","MarketplaceFacilitator","6.29","0.55","1.49","0","0","0","0","0","-1.49","0","-0.55","-0.94","-2.47","0","0","2.88"
"Oct 1, 2025 7:03:03 AM PDT","24694934071","Refund","113-9124884-7981845","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","SUFFOLK","VA","23435","MarketplaceFacilitator","0","0","-0.50","-0.03","0","0","0","0","0","0","0.03","0","0.50","0","0","0"
"Oct 1, 2025 7:26:24 AM PDT","24694934071","Order","113-0008654-3755458","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","CLERMONT","FL","34714","MarketplaceFacilitator","6.29","0.44","0.60","0","0","0","0","0","-0.60","0","-0.44","-0.94","-2.47","0","0","2.88"
"Oct 1, 2025 7:28:59 AM PDT","24694934071","Order","111-8665782-8314628","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","Boca Raton","Fl","33487","MarketplaceFacilitator","6.29","0.44","0","0","0","0","0","0","0","0","-0.44","-0.94","-2.47","0","0","2.88"
"Oct 1, 2025 7:57:49 AM PDT","24694934071","Transfer","","","To your account ending in: 975, Bank Transfer ID: MXLMBSC71DWIMIW","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-486.56","-486.56"
"Oct 1, 2025 8:06:52 AM PDT","24694934071","Order","111-4511899-6901005","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","SCOTCH PLAINS","NJ","07076","MarketplaceFacilitator","13.49","0.89","0","0","0","0","0","0","0","0","-0.89","-2.02","-5.77","0","0","5.70"
"Oct 1, 2025 8:11:11 AM PDT","24694934071","Order","114-9353808-0545030","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","NORTH ANDOVER","MA","01845","MarketplaceFacilitator","6.29","0.39","0","0","0","0","0","0","0","0","-0.39","-0.94","-2.47","0","0","2.88"
"Oct 1, 2025 8:24:01 AM PDT","24694934071","Order","114-4438252-2669066","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","1","amazon.com","Standard Orders","Amazon","SEGUIN","TX","78155","MarketplaceFacilitator","14.99","1.01","0","0","0","0","0","0","0","0","-1.01","-2.25","-3.33","0","0","9.41"
"Oct 1, 2025 8:32:58 AM PDT","24694934071","Order","113-7712197-0345010","hook02","KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clo","1","amazon.com","Standard Orders","Amazon","INDIANAPOLIS","IN","46231","MarketplaceFacilitator","19.99","1.40","0","0","0","0","0","0","0","0","-1.40","-3.00","-6.05","0","0","10.94"
"Oct 1, 2025 9:08:02 AM PDT","24694934071","Order","111-7816860-3220208","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","2","amazon.com","Standard Orders","Amazon","SANTA FE","NM","87501","MarketplaceFacilitator","12.58","1.02","0","0","0","0","0","0","0","0","-1.02","-1.88","-4.94","0","0","5.76"
"Oct 1, 2025 9:17:44 AM PDT","24694934071","Order","111-2309161-3553042","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","CLIFTON","VA","20124","MarketplaceFacilitator","6.29","0.38","0","0","0","0","0","0","0","0","-0.38","-0.94","-2.47","0","0","2.88"
"Oct 1, 2025 2:34:51 PM PDT","24694934071","Order","111-8832430-1715400","hook02","KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clo","1","amazon.com","Standard Orders","Amazon","SAINT ALBANS","WV","25177","MarketplaceFacilitator","19.99","1.40","0","0","0","0","0","0","0","0","-1.40","-3.00","-6.05","0","0","10.94"
"Oct 1, 2025 6:28:49 PM PDT","24694934071","Order","112-8056037-9419403","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","OCEANSIDE","CA","92056","MarketplaceFacilitator","6.29","0.52","0","0","0","0","0","0","0","0","-0.52","-0.94","-2.47","0","0","2.88"
"Oct 1, 2025 7:49:40 PM PDT","24694934071","Order","111-1213951-8206652","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","TALLAHASSEE","FL","32304","MarketplaceFacilitator","13.49","1.01","0","0","0","0","0","0","0","0","-1.01","-2.02","-5.77","0","0","5.70"
"Oct 1, 2025 8:42:46 PM PDT","24694934071","Order","111-7846150-8625847","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","SARASOTA","FL","34243","MarketplaceFacilitator","13.49","0.94","0","0","0","0","0","0","0","0","-0.94","-2.02","-5.77","0","0","5.70"
"Oct 1, 2025 9:04:07 PM PDT","24694934071","Order","111-7411399-6406600","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","Keene","NH","03431","","13.49","0","0","0","0","0","0","0","0","0","0","-2.02","-5.77","0","0","5.70"
"Oct 1, 2025 11:42:04 PM PDT","24694934071","Order","111-4489711-8275405","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","2","amazon.com","Standard Orders","Amazon","SAN FRANCISCO","CA","94127","MarketplaceFacilitator","29.98","2.58","0","0","0","0","0","0","0","0","-2.58","-4.50","-6.66","0","0","18.82"
"Oct 1, 2025 11:46:17 PM PDT","24694934071","Order","114-0472473-5108204","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","FOREST HILLS","NY","11375","MarketplaceFacilitator","6.29","0.56","0","0","0","0","0","0","0","0","-0.56","-0.94","-2.47","0","0","2.88"
"Oct 2, 2025 12:17:02 AM PDT","24694934071","Order","114-2584552-3687422","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","SPRINGFIELD","VA","22151","MarketplaceFacilitator","6.29","0.38","0","0","0","0","0","0","0","0","-0.38","-0.94","-2.47","0","0","2.88"
