"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Nov 1, 2025 12:50:11 AM PDT","24851397951","Order","114-4655542-6836237","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","PHOENIX","AZ","85037","MarketplaceFacilitator","5.99","0.55","0","0","0","0","0","0","0","0","-0.55","-0.90","-2.67","0","0","2.42"
"Nov 1, 2025 1:02:45 AM PDT","24851397951","Order","114-0167717-1257807","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","1","amazon.com","Standard Orders","Amazon","MURFREESBORO","TN","37128","MarketplaceFacilitator","14.99","1.46","0","0","0","0","0","0","0","0","-1.46","-2.25","-3.53","0","0","9.21"
"Nov 1, 2025 1:16:55 AM PDT","24851397951","Order","114-0101395-9251431","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","PORTLAND","OR","97227","","16.99","0","0","0","0","0","0","0","0","0","0","-2.55","-6.10","0","0","8.34"
"Nov 1, 2025 1:22:40 AM PDT","24851397951","Order","112-2501363-9622648","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","VISTA","CA","92084","MarketplaceFacilitator","5.99","0.46","0","0","0","0","0","0","0","0","-0.46","-0.90","-2.67","0","0","2.42"
"Nov 1, 2025 1:42:22 AM PDT","24851397951","Order","114-7259664-5933050","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","ROSWELL","GA","30075","MarketplaceFacilitator","5.99","0.36","0","0","0","0","0","0","0","0","-0.36","-0.90","-2.67","0","0","2.42"
"Nov 1, 2025 1:56:53 AM PDT","24851397951","Order","111-3149782-7246606","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","CANONSBURG","PA","15317","MarketplaceFacilitator","16.99","1.02","0","0","0","0","0","0","0","0","-1.02","-2.55","-6.10","0","0","8.34"
"Nov 1, 2025 2:19:24 AM PDT","24851397951","Order","114-7725096-5465068","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","Hayward","CA","94541","MarketplaceFacilitator","5.99","0.64","0","0","0","0","0","0","0","0","-0.64","-0.90","-2.67","0","0","2.42"
"Nov 1, 2025 2:51:06 AM PDT","24851397951","Order","111-2307531-6883412","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","NEW YORK","NY","10021","MarketplaceFacilitator","5.99","0.53","0","0","0","0","0","0","0","0","-0.53","-0.90","-2.67","0","0","2.42"
"Nov 1, 2025 3:03:31 AM PDT","24851397951","Order","111-6183265-6941845","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","Bellaire","Texas","77401","MarketplaceFacilitator","5.99","0.49","0","0","0","0","0","0","0","0","-0.49","-0.90","-2.67","0","0","2.42"
"Nov 1, 2025 3:05:03 AM PDT","24851397951","Order","114-2859586-7825860","T-tie-red002","KEOAMG 2Pack Tie Rack Hanger for Closet, Sleek Tie Organizer for Men with 18 Upgraded Folding Hooks, Space-Saving Tie Holder, Tie and Belt Hanger for","1","amazon.com","Standard Orders","Amazon","HILTON HEAD ISLAND","SC","29928","MarketplaceFacilitator","14.99","0.90","0","0","0","0","0","0","0","0","-0.90","-2.25","-3.74","0","0","9.00"
