asin,fnsku,product_name,fulfillment_center,country_code,longest_side,median_side,shortest_side,measurement_units,weight,weight_units,item_volume,volume_units,product_size_tier,average_quantity_on_hand,average_quantity_pending_removal,estimated_total_item_volume,month_of_charge,storage_utilization_ratio,storage_utilization_ratio_units,base_rate,utilization_surcharge_rate,avg_qty_for_sus,est_vol_for_sus,est_base_msf,est_sus,currency,estimated_monthly_storage_fee,dangerous_goods_storage_type,eligible_for_inventory_discount,qualifies_for_inventory_discount,total_incentive_fee_amount,breakdown_incentive_fee_amount,average_quantity_customer_orders
B0C538JL1X,X003TKCFCF,"KEOAMG 2 Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clothes, Towels, Hats, Matte Black",ACY1,US,17.6,4.17,3.9,inches,2.38,pounds,0.1656,cubic feet,Standard-Size,1,0,0.1656,25-Jan,7.1,weeks,0.78,0,1,0.1656,0.1308,0,USD,0.1308,--,N,N,0,--,0
B0DHQ8QGQG,X004EJ051D,"KEOAMG Tie Rack Hanger for Closet, Sleek Tie Hangers for Men with 18 Upgraded Folding Hooks, Space-Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Black)",ACY1,US,13.43,4.49,0.71,inches,0.35,pounds,0.0248,cubic feet,Standard-Size,4.74,0,0.0623,25-Jan,7.1,weeks,0.78,0,2.52,0.0623,0.0492,0,USD,0.0492,--,N,N,0.043014905,FBA_NEW_SELECTION:0.043,0
B0BMF6VST8,X003IDW07X,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, Towels, Hats, Matte Black",AGS1,US,17.48,4.29,3.7,inches,1.32,pounds,0.1606,cubic feet,Standard-Size,0.03,0,0.0052,25-Jan,7.1,weeks,0.78,0,0.03,0.0052,0.0049,0,USD,0.0049,--,N,N,0,--,0
B0DHL54ZV4,X004EJ05W7,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)",AGS1,US,13.43,4.06,0.59,inches,0.29,pounds,0.0186,cubic feet,Standard-Size,0.29,0,0.0054,25-Jan,7.1,weeks,0.78,0,0.1,0.0018,0.0051,0,USD,0.0051,--,N,N,0,--,0
B0C538JL1X,X003TKCFCF,"KEOAMG 2 Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clothes, Towels, Hats, Matte Black",AKC1,US,17.6,4.17,3.9,inches,2.38,pounds,0.1656,cubic feet,Standard-Size,57.97,0,9.5004,25-Jan,7.1,weeks,0.78,0,57.35,9.5004,7.4061,0,USD,7.4061,--,N,N,0,--,0.61
B0D4MCXCC6,X0048XOI7H,"KEOAMG Over The Door Hooks, Over The Door Towel Rack for Bathroom, Sturdy Over The Door Hanger, Door Hanger Hook, Door Hooks for Hanging Clothes, Coats, Towels, White",AKC1,US,17.32,4.37,3.54,inches,1.3,pounds,0.1551,cubic feet,Standard-Size,0.03,0,0.005,25-Jan,7.1,weeks,0.78,0,0.03,0.005,0.0039,0,USD,0.0039,--,N,N,0,--,0
B0BMF6VST8,X003IDW07X,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, Towels, Hats, Matte Black",ATL2,US,17.48,4.29,3.7,inches,1.32,pounds,0.1606,cubic feet,Standard-Size,1.97,0,0.2849,25-Jan,7.1,weeks,0.78,0,1.77,0.2849,0.2212,0,USD,0.2212,--,N,N,0,--,0.19
B0D4MCXCC6,X0048XOI7H,"KEOAMG Over The Door Hooks, Over The Door Towel Rack for Bathroom, Sturdy Over The Door Hanger, Door Hanger Hook, Door Hooks for Hanging Clothes, Coats, Towels, White",ATL2,US,17.32,4.37,3.54,inches,1.3,pounds,0.1551,cubic feet,Standard-Size,0.97,0,0.1451,25-Jan,7.1,weeks,0.78,0,0.9,0.1401,0.1117,0,USD,0.1117,--,N,N,0,--,0.03
B0DHQ8QGQG,X004EJ051D,"KEOAMG Tie Rack Hanger for Closet, Sleek Tie Hangers for Men with 18 Upgraded Folding Hooks, Space-Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Black)",ATL2,US,13.43,4.49,0.71,inches,0.35,pounds,0.0248,cubic feet,Standard-Size,0.97,0,8.00E-04,25-Jan,7.1,weeks,0.78,0,0.03,8.00E-04,6.00E-04,0,USD,6.00E-04,--,N,N,0.016831919,FBA_NEW_SELECTION:0.0168,0.06
B0DHL54ZV4,X004EJ05W7,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)",ATL2,US,13.43,4.06,0.59,inches,0.29,pounds,0.0186,cubic feet,Standard-Size,0.45,0,0.0084,25-Jan,7.1,weeks,0.78,0,0,0,0.0065,0,USD,0.0065,--,N,N,0,--,0
B0BMF6VST8,X003IDW07X,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, Towels, Hats, Matte Black",AUS2,US,17.48,4.29,3.7,inches,1.32,pounds,0.1606,cubic feet,Standard-Size,0.06,0,0.0104,25-Jan,7.1,weeks,0.78,0,0.06,0.0104,0.0095,0,USD,0.0095,--,N,N,0,--,0
B0DHL54ZV4,X004EJ05W7,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)",AUS2,US,13.43,4.06,0.59,inches,0.29,pounds,0.0186,cubic feet,Standard-Size,0.19,0,6.00E-04,25-Jan,7.1,weeks,0.78,0,0.03,6.00E-04,5.00E-04,0,USD,5.00E-04,--,N,N,0.001873714,FBA_NEW_SELECTION:0.0019,0.03
B0BMF6VST8,X003IDW07X,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, Towels, Hats, Matte Black",BDL2,US,17.48,4.29,3.7,inches,1.32,pounds,0.1606,cubic feet,Standard-Size,0.19,0,0.0104,25-Jan,7.1,weeks,0.78,0,0.06,0.0104,0.01,0,USD,0.01,--,N,N,0,--,0.13
B0BMF6VST8,X003IDW07X,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, Towels, Hats, Matte Black",BDL3,US,17.48,4.29,3.7,inches,1.32,pounds,0.1606,cubic feet,Standard-Size,0.13,0,0.0104,25-Jan,7.1,weeks,0.78,0,0.06,0.0104,0.0082,0,USD,0.0082,--,N,N,0,--,0.06
B0C538JL1X,X003TKCFCF,"KEOAMG 2 Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clothes, Towels, Hats, Matte Black",BDL3,US,17.6,4.17,3.9,inches,2.38,pounds,0.1656,cubic feet,Standard-Size,1,0,0.155,25-Jan,7.1,weeks,0.78,0,0.94,0.155,0.1228,0,USD,0.1228,--,N,N,0,--,0.06
B0D4MCXCC6,X0048XOI7H,"KEOAMG Over The Door Hooks, Over The Door Towel Rack for Bathroom, Sturdy Over The Door Hanger, Door Hanger Hook, Door Hooks for Hanging Clothes, Coats, Towels, White",BDL3,US,17.32,4.37,3.54,inches,1.3,pounds,0.1551,cubic feet,Standard-Size,0.65,0,0.1,25-Jan,7.1,weeks,0.78,0,0.65,0.1,0.079,0,USD,0.079,--,N,N,0,--,0
B0BMF6VST8,X003IDW07X,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, Towels, Hats, Matte Black",BDL4,US,17.48,4.29,3.7,inches,1.32,pounds,0.1606,cubic feet,Standard-Size,3.45,0,0.5231,25-Jan,7.1,weeks,0.78,0,3.26,0.5231,0.4102,0,USD,0.4102,--,N,N,0,--,0.19
