date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"Mar 1, 2025 12:57:50 AM PST",23016885371,Order,113-2159236-5657018,hook01,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To",1,amazon.com,Standard Orders,Amazon,ERLANGER,KY,41018,MarketplaceFacilitator,12.77,0.77,0,0,0,0,0,0,0,0,-0.77,-1.92,-5.77,0,0,5.08
"Mar 1, 2025 1:44:19 AM PST",23016885371,Order,114-4609636-4537800,hook01,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To",1,amazon.com,Standard Orders,Amazon,MONTGOMERY,IL,60538,MarketplaceFacilitator,12.77,1.02,0,0,0,0,0,0,0,0,-1.02,-1.92,-5.77,0,0,5.08
"Mar 1, 2025 2:10:35 AM PST",23016885371,Order,112-6662625-1021010,hook01,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To",1,amazon.com,Standard Orders,Amazon,SCHENECTADY,NY,12306,MarketplaceFacilitator,12.77,1.02,0,0,0,0,0,0,0,0,-1.02,-1.92,-5.77,0,0,5.08
"Mar 1, 2025 3:01:33 AM PST",23016885371,Order,114-6026794-5652222,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,Union Grove,WI,53182,MarketplaceFacilitator,7.99,0.4,0,0,0,0,0,0,0,0,-0.4,-1.2,-2.47,0,0,4.32
"Mar 1, 2025 3:26:36 AM PST",23016885371,Order,111-9672351-0849818,hook01,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To",1,amazon.com,Standard Orders,Amazon,DAPHNE,AL,36526,MarketplaceFacilitator,12.77,1.02,0,0,0,0,0,0,0,0,-2.04,-3.84,-5.77,0,0,2.14
"Mar 1, 2025 3:26:36 AM PST",23016885371,Order,111-9672351-0849818,hook01,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To",1,amazon.com,Standard Orders,Amazon,DAPHNE,AL,36526,,12.77,1.02,0,0,0,0,0,0,0,0,0,0,-5.77,0,0,8.02
"Mar 1, 2025 4:18:51 AM PST",23016885371,Order,111-7271726-2157814,hook01,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To",1,amazon.com,Standard Orders,Amazon,Londonderry,nh,3053,,12.77,0,0,0,0,0,0,0,0,0,0,-1.92,-5.77,0,0,5.08
"Mar 1, 2025 4:27:50 AM PST",23016885371,Order,114-0133661-8889866,hook01,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To",2,amazon.com,Standard Orders,Amazon,ALBUQUERQUE,NM,87111,MarketplaceFacilitator,25.54,1.94,0,0,0,0,0,0,0,0,-1.94,-3.84,-11.54,0,0,10.16
"Mar 1, 2025 4:34:38 AM PST",23016885371,Order,111-8919805-4663404,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,LOS ANGELES,CA,90024,MarketplaceFacilitator,7.99,0.76,0,0,0,0,0,0,0,0,-0.76,-1.2,-2.47,0,0,4.32
"Mar 1, 2025 5:42:31 AM PST",23016885371,Order,113-1482728-2842650,hook01,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To",1,amazon.com,Standard Orders,Amazon,CARLISLE,PA,17013,MarketplaceFacilitator,12.77,0.77,1.84,0,0,0,0,0,-1.84,0,-0.77,-1.92,-5.77,0,0,5.08
