date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"Apr 1, 2025 12:47:44 AM PDT",23330480611,Order,114-5973283-2659419,hook01,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To",2,amazon.com,Standard Orders,Amazon,AURORA,IL,60505,MarketplaceFacilitator,27.98,2.16,0,0,0,0,0,0,-1.68,0,-2.16,-3.94,-11.54,0,0,10.82
"Apr 1, 2025 1:32:26 AM PDT",23330480611,Order,112-0736564-8015414,hook02,"KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clo",2,amazon.com,Standard Orders,Amazon,FAIR LAWN,NJ,7410,MarketplaceFacilitator,39.98,2.64,2.99,0,0,0,0,0,-2.99,0,-2.64,-6,-12.1,0,0,21.88
"Apr 1, 2025 1:35:52 AM PDT",23330480611,Order,111-8913073-0735414,hook01,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To",1,amazon.com,Standard Orders,Amazon,BLUE SPRINGS,MO,64015,MarketplaceFacilitator,13.99,0.87,0,0,0,0,0,0,-1.68,0,-0.87,-1.85,-5.77,0,0,4.69
"Apr 1, 2025 1:53:26 AM PDT",23330480611,Refund,113-7707658-2210643,hook02,"KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clo",1,amazon.com,Standard Orders,Amazon,BENSON,AZ,85602,MarketplaceFacilitator,-19.99,-2.02,0,0,0,0,0,0,0,0,2.02,2.4,0,0,0,-17.59
"Apr 1, 2025 2:01:29 AM PDT",23330480611,Order,111-6461106-6057815,tie-wall-02black,"KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Tie Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet, B",1,amazon.com,Standard Orders,Amazon,POESTENKILL,NY,12140,MarketplaceFacilitator,14.99,1.08,0,0,0,0,0,0,-1.5,0,-1.08,-2.02,-3.6,0,0,7.87
"Apr 1, 2025 2:29:37 AM PDT",23330480611,Order,111-3178611-2733829,hook01,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To",1,amazon.com,Standard Orders,Amazon,SAN ANTONIO,TX,78228,MarketplaceFacilitator,13.99,1.15,0,0,0,0,0,0,0,0,-1.15,-2.1,-5.77,0,0,6.12
"Apr 1, 2025 2:47:00 AM PDT",23330480611,Order,111-6721787-8813841,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,LITTLETON,CO,80125,MarketplaceFacilitator,8.99,0.36,0,0,0,0,0,0,0,0,-0.36,-1.35,-2.47,0,0,5.17
"Apr 1, 2025 3:19:48 AM PDT",23330480611,Order,113-5645921-8335435,hook02,"KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clo",1,amazon.com,Standard Orders,Amazon,RICHARDSON,TX,75081,MarketplaceFacilitator,19.99,1.57,0,0,0,0,0,0,-1,0,-1.57,-2.85,-6.05,0,0,10.09
"Apr 1, 2025 3:37:05 AM PDT",23330480611,Order,112-3298436-9784253,hook02,"KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clo",1,amazon.com,Standard Orders,Amazon,EAST HANOVER,NJ,7936,MarketplaceFacilitator,19.99,1.32,0,0,0,0,0,0,0,0,-1.32,-3,-6.05,0,0,10.94
"Apr 1, 2025 5:02:42 AM PDT",23330480611,Refund,113-7905226-6201810,hook01-white,"KEOAMG Over The Door Hooks - Sturdy Over The Door Hanger, Towel Rack for Bathroom, White",1,amazon.com,Standard Orders,Amazon,GROVETOWN,GA,30813,MarketplaceFacilitator,-16.99,-1.36,0,0,0,0,0,0,0,0,1.36,2.04,0,0,0,-14.95
"Apr 1, 2025 5:21:34 AM PDT",23330480611,Order,112-1665720-8558650,hook02,"KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clo",1,amazon.com,Standard Orders,Amazon,TRENTON,MI,48183,MarketplaceFacilitator,19.99,1.2,0,0,0,0,0,0,0,0,-2.4,-6,-6.05,0,0,6.74
