asin,fnsku,product_name,fulfillment_center,country_code,longest_side,median_side,shortest_side,measurement_units,weight,weight_units,item_volume,volume_units,product_size_tier,average_quantity_on_hand,average_quantity_pending_removal,estimated_total_item_volume,month_of_charge,storage_utilization_ratio,storage_utilization_ratio_units,base_rate,utilization_surcharge_rate,avg_qty_for_sus,est_vol_for_sus,est_base_msf,est_sus,currency,estimated_monthly_storage_fee,dangerous_goods_storage_type,eligible_for_inventory_discount,qualifies_for_inventory_discount,total_incentive_fee_amount,breakdown_incentive_fee_amount,average_quantity_customer_orders
B0DHL54ZV4,X004EJ05W7,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)",ABE2,US,13.43,4.06,0.59,inches,0.29,pounds,0.0186,cubic feet,Standard-Size,1,0,0.0186,Mar-25,5.7,weeks,0.78,0,0.39,0.0072,0.01,0,USD,0.01,--,N,N,0,--,0
B0C538JL1X,X003TKCFCF,"KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clothes, Towels, Hats, Matte Black",ABE8,US,17.6,4.17,3.9,inches,2.38,pounds,0.1656,cubic feet,Standard-Size,2.97,0,0.4916,Mar-25,5.7,weeks,0.78,0,0,0,0.38,0,USD,0.38,--,N,N,0,--,0
B0DHL54ZV4,X004EJ05W7,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)",ABQ1,US,13.43,4.06,0.59,inches,0.29,pounds,0.0186,cubic feet,Standard-Size,1.32,0,0.0246,Mar-25,5.7,weeks,0.78,0,0.39,0.0072,0.02,0,USD,0.02,--,N,N,0,--,0
B0DHQ8QGQG,X004EJ051D,"KEOAMG Tie Rack Hanger for Closet, Sleek Tie Hangers for Men with 18 Upgraded Folding Hooks, Space-Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Black)",ACY1,US,13.43,4.49,0.71,inches,0.35,pounds,0.0248,cubic feet,Standard-Size,0.81,0,0.0192,Mar-25,5.7,weeks,0.78,0,0.77,0.0192,0.0121,0,USD,0.0121,--,N,N,0,--,0.03
B0DHL54ZV4,X004EJ05W7,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)",ACY1,US,13.43,4.06,0.59,inches,0.29,pounds,0.0186,cubic feet,Standard-Size,0.71,0,0.0126,Mar-25,5.7,weeks,0.78,0,0.03,6.00E-04,0.0079,0,USD,0.0079,--,N,N,0,--,0.03
B0DHL54ZV4,X004EJ05W7,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)",AFW1,US,13.43,4.06,0.59,inches,0.29,pounds,0.0186,cubic feet,Standard-Size,0.77,0,0.0144,Mar-25,5.7,weeks,0.78,0,0.35,0.0066,0.01,0,USD,0.01,--,N,N,0,--,0
B0BMF6VST8,X003IDW07X,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, Towels, Hats, Matte Black",AKC1,US,17.48,4.29,3.7,inches,1.32,pounds,0.1606,cubic feet,Standard-Size,0.1,0,0.0052,Mar-25,5.7,weeks,0.78,0,0.03,0.0052,0.0048,0,USD,0.0048,--,N,N,0,--,0.06
B0C538JL1X,X003TKCFCF,"KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clothes, Towels, Hats, Matte Black",AKC1,US,17.6,4.17,3.9,inches,2.38,pounds,0.1656,cubic feet,Standard-Size,0.13,0,0.016,Mar-25,5.7,weeks,0.78,0,0,0,0.0147,0,USD,0.0147,--,N,N,0,--,0.03
B0DHL54ZV4,X004EJ05W7,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)",AKC1,US,13.43,4.06,0.59,inches,0.29,pounds,0.0186,cubic feet,Standard-Size,0.03,0,6.00E-04,Mar-25,5.7,weeks,0.78,0,0,0,6.00E-04,0,USD,6.00E-04,--,N,N,0,--,0
B0BMF6VST8,X003IDW07X,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, Towels, Hats, Matte Black",ATL2,US,17.48,4.29,3.7,inches,1.32,pounds,0.1606,cubic feet,Standard-Size,13.84,0,2.1651,Mar-25,5.7,weeks,0.78,0,13.35,2.1443,1.6923,0,USD,1.6923,--,N,N,0,--,0.35
B0C538JL1X,X003TKCFCF,"KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clothes, Towels, Hats, Matte Black",ATL2,US,17.6,4.17,3.9,inches,2.38,pounds,0.1656,cubic feet,Standard-Size,0.16,0,0.0214,Mar-25,5.7,weeks,0.78,0,0,0,0.0167,0,USD,0.0167,--,N,N,0,--,0.03
B0DDX41KTY,X004DA8SY9,"KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Tie Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet, White",ATL2,US,14.5,2,0.5,inches,0.74,pounds,0.0084,cubic feet,Standard-Size,0.13,0,0,Mar-25,5.7,weeks,0.78,0,0,0,0,0,USD,0,--,N,N,8.45E-04,FBA_NEW_SELECTION:8.0E-4,0
B0DHL54ZV4,X004EJ05W7,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)",ATL2,US,13.43,4.06,0.59,inches,0.29,pounds,0.0186,cubic feet,Standard-Size,7.71,0,0.1423,Mar-25,5.7,weeks,0.78,0,2.81,0.0522,0.111,0,USD,0.111,--,N,N,0,--,0.06
B0BMF6VST8,X003IDW07X,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, Towels, Hats, Matte Black",AUS2,US,17.48,4.29,3.7,inches,1.32,pounds,0.1606,cubic feet,Standard-Size,0.16,0,0.0259,Mar-25,5.7,weeks,0.78,0,0.16,0.0259,0.0205,0,USD,0.0205,--,N,N,0,--,0
B0DHL54ZV4,X004EJ05W7,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)",AUS2,US,13.43,4.06,0.59,inches,0.29,pounds,0.0186,cubic feet,Standard-Size,6.1,0,0.1135,Mar-25,5.7,weeks,0.78,0,2.13,0.0396,0.0895,0,USD,0.0895,--,N,N,0,--,0
