date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"May 1, 2025 12:25:03 AM PDT",23538061691,Order,111-1581462-0006665,hook02,"KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clo",1,amazon.com,Invoiced Orders,Amazon,WAIPAHU,HI,96797,MarketplaceFacilitator,19.99,0.94,2.37,0.11,0,0,0,0,0,0,-1.05,-3,-8.42,0,0,10.94
"May 1, 2025 12:27:38 AM PDT",23537447201,Order,113-6841099-0669017,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,WASHINGTON,DC,20016,MarketplaceFacilitator,5.99,0.36,0,0,0,0,0,0,0,0,-0.36,-0.9,-2.47,0,0,2.62
"May 1, 2025 12:36:18 AM PDT",23537447201,Order,114-7642606-7657069,tie-wall-02black,"KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Tie Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet, B",1,amazon.com,Standard Orders,Amazon,GRANITE BAY,CA,95746,MarketplaceFacilitator,14.99,0.87,0,0,0,0,0,0,-3,0,-0.87,-1.8,-3.6,0,0,6.59
"May 1, 2025 12:38:28 AM PDT",23537447201,Order,112-4783915-2190656,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,LEXINGTON,KY,40505,MarketplaceFacilitator,5.99,0.36,0,0,0,0,0,0,0,0,-0.36,-0.9,-2.47,0,0,2.62
"May 1, 2025 12:55:57 AM PDT",23537447201,Order,111-8178694-0701844,hook01,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To",1,amazon.com,Standard Orders,Amazon,BEND,OR,97703,,13.99,0,0,0,0,0,0,0,-2.8,0,0,-1.68,-5.77,0,0,3.74
"May 1, 2025 1:20:14 AM PDT",23537447201,Order,113-6816878-9427418,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",2,amazon.com,Standard Orders,Amazon,LEAGUE CITY,TX,77573,MarketplaceFacilitator,11.98,0.98,0,0,0,0,0,0,0,0,-0.98,-1.8,-4.94,0,0,5.24
"May 1, 2025 1:21:41 AM PDT",23537447201,Order,111-0339500-2940274,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",2,amazon.com,Standard Orders,Amazon,COLLEGE STATION,TX,77845,MarketplaceFacilitator,11.98,0.98,0,0,0,0,0,0,0,0,-0.98,-1.8,-4.94,0,0,5.24
"May 1, 2025 1:29:22 AM PDT",23537447201,Order,112-3621469-2821066,hook01,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To",1,amazon.com,Standard Orders,Amazon,MILFORD,DE,19963,,13.99,0,0,0,0,0,0,0,0,0,0,-2.1,-5.77,0,0,6.12
"May 1, 2025 2:03:26 AM PDT",23537447201,Order,111-5229843-1817047,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,PALM BEACH GARDENS,FL,33410,MarketplaceFacilitator,5.99,0.42,0,0,0,0,0,0,0,0,-0.42,-0.9,-2.47,0,0,2.62
"May 1, 2025 2:15:39 AM PDT",23537447201,Order,113-8936515-9149812,tie-wall-02white,"KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Tie Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet, W",1,amazon.com,Standard Orders,Amazon,WEST JORDAN,UT,84081,MarketplaceFacilitator,21.99,1.59,0,0,0,0,0,0,0,0,-1.59,-3.3,-3.53,0,0,15.16
