date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"Jun 1, 2025 1:42:08 AM PDT",23726320211,Order,113-1913848-0904228,hook01-white,"KEOAMG Over The Door Hooks, Over The Door Towel Rack for Bathroom, Sturdy Door Hanger Hook, Door Hooks for Hanging Clothes, Coats, Towels, White",1,amazon.com,Standard Orders,Amazon,NEW YORK,NY,10016,MarketplaceFacilitator,19.99,1.77,0,0,0,0,0,0,0,0,-1.77,-3,-5.77,0,0,11.22
"Jun 1, 2025 2:17:04 AM PDT",23726320211,Order,113-1710361-3115436,tie-wall-02white,"KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Tie Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet, W",1,amazon.com,Standard Orders,Amazon,PARRISH,FL,34219,MarketplaceFacilitator,21.99,1.54,0,0,0,0,0,0,0,0,-3.08,-6.6,-3.53,0,0,10.32
"Jun 1, 2025 2:17:04 AM PDT",23726320211,Order,113-1710361-3115436,tie-wall-02white,"KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Tie Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet, W",1,amazon.com,Standard Orders,Amazon,PARRISH,FL,34219,,21.99,1.54,0,0,0,0,0,0,0,0,0,0,-3.53,0,0,20
"Jun 1, 2025 2:28:04 AM PDT",23726320211,Order,113-6476395-8697028,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,Fruit Heights,Utah,84037,MarketplaceFacilitator,5.49,0.4,0,0,0,0,0,0,0,0,-0.4,-0.82,-2.47,0,0,2.2
"Jun 1, 2025 2:45:22 AM PDT",23726320211,Order,111-0288539-1603462,hook01,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To",3,amazon.com,Standard Orders,Amazon,OPELIKA,AL,36801,MarketplaceFacilitator,41.97,3.36,0,0,0,0,0,0,0,0,-3.36,-6.3,-17.31,0,0,18.36
"Jun 1, 2025 3:03:13 AM PDT",23726320211,Order,114-5259382-9032217,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,SANDOWN,NH,3873,,5.49,0,0,0,0,0,0,0,0,0,0,-0.82,-2.47,0,0,2.2
"Jun 1, 2025 3:40:59 AM PDT",23726320211,Order,S01-8289545-3414022,tie-wall-02black,"KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Tie Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet, Black",1,sim1.stores.amazon.com,Standard Orders,Amazon,NAMPA,ID,83686,,0,0,0,0,0,0,0,0,0,0,0,0,-7.15,0,0,-7.15
"Jun 1, 2025 4:13:48 AM PDT",23726320211,Order,113-0649079-9581851,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,CHAGRIN FALLS,OH,44022,MarketplaceFacilitator,5.49,0.37,0,0,0,0,0,0,0,0,-0.37,-0.82,-2.47,0,0,2.2
"Jun 1, 2025 7:36:18 AM PDT",23752785371,Order,111-4428715-1941063,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,PORTAGE,MI,49002,MarketplaceFacilitator,5.49,0.33,0.99,0,0,0,0,0,-0.99,0,-0.33,-0.82,-2.47,0,0,2.2
"Jun 1, 2025 7:55:31 AM PDT",23752785371,Order,114-4604425-1035443,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,FLETCHER,NC,28732,MarketplaceFacilitator,5.49,0.37,0,0,0,0,0,0,0,0,-0.37,-0.82,-2.47,0,0,2.2
"Jun 1, 2025 8:03:44 AM PDT",23752785371,Order,113-1348214-7097819,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,RIDGEWOOD,NY,11385,MarketplaceFacilitator,5.49,0.49,0,0,0,0,0,0,0,0,-0.49,-0.82,-2.47,0,0,2.2
"Jun 1, 2025 8:03:56 AM PDT",23752785371,Order,113-8779651-2603415,tie-wall-02white,"KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Tie Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet, W",1,amazon.com,Standard Orders,Amazon,WEST JORDAN,UT,84081,MarketplaceFacilitator,21.99,1.59,0,0,0,0,0,0,0,0,-1.59,-3.3,-3.53,0,0,15.16
"Jun 1, 2025 8:24:32 AM PDT",23752785371,Order,111-0531751-7208225,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,SAINT AUGUSTINE,FL,32095,MarketplaceFacilitator,5.49,0.36,0,0,0,0,0,0,0,0,-0.36,-0.82,-2.47,0,0,2.2
"Jun 1, 2025 8:30:27 AM PDT",23752785371,Order,114-5786093-0950662,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,FLORENCE,SC,29501,MarketplaceFacilitator,5.49,0.44,0,0,0,0,0,0,0,0,-0.44,-0.82,-2.47,0,0,2.2
