date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"Jul 1, 2025 12:04:02 AM PDT",23951944521,Order,112-8549630-9833000,hook01,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To",1,amazon.com,Standard Orders,Amazon,SIMSBORO,LA,71275,MarketplaceFacilitator,14.99,1.5,0,0,0,0,0,0,0,0,-1.5,-2.25,-5.77,0,0,6.97
"Jul 1, 2025 12:47:54 AM PDT",23951944521,Order,111-6313614-3741862,hook01,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To",1,amazon.com,Standard Orders,Amazon,NEW YORK,NY,10003,MarketplaceFacilitator,14.99,1.33,2.38,0,0,0,0,0,-2.38,0,-1.33,-2.25,-5.77,0,0,6.97
"Jul 1, 2025 1:01:54 AM PDT",23951944521,Order,111-0060886-0409848,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,LE GRAND,CA,95333,MarketplaceFacilitator,6.99,0.54,0,0,0,0,0,0,0,0,-0.54,-1.05,-2.47,0,0,3.47
"Jul 1, 2025 1:05:52 AM PDT",23951944521,Order,113-2415102-7612249,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,PITTSBURGH,PA,15212,MarketplaceFacilitator,6.99,0.42,0,0,0,0,0,0,0,0,-0.42,-1.05,-2.47,0,0,3.47
"Jul 1, 2025 1:09:09 AM PDT",23951944521,Order,112-1688600-5890652,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",2,amazon.com,Standard Orders,Amazon,CODY,WY,82414,MarketplaceFacilitator,13.98,0.56,1.93,0,0,0,0,0,-1.93,0,-0.56,-2.1,-4.94,0,0,6.94
"Jul 1, 2025 1:26:06 AM PDT",23951944521,Order,112-0808909-1264249,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,WEST JORDAN,UT,84088,MarketplaceFacilitator,6.99,0.51,0,0,0,0,0,0,0,0,-0.51,-1.05,-2.47,0,0,3.47
"Jul 1, 2025 1:28:46 AM PDT",23951944521,Order,114-5646539-7373065,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,COVINGTON,LA,70433,MarketplaceFacilitator,6.99,0.57,0,0,0,0,0,0,-0.88,0,-1.14,-1.84,-2.47,0,0,1.23
"Jul 1, 2025 1:28:46 AM PDT",23951944521,Order,114-5646539-7373065,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,COVINGTON,LA,70433,,6.99,0.57,0,0,0,0,0,0,-0.87,0,0,0,-2.47,0,0,4.22
"Jul 1, 2025 1:37:28 AM PDT",23951944521,Order,111-8387547-2450611,hook01,"KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To",1,amazon.com,Standard Orders,Amazon,MANSFIELD,OH,44902,MarketplaceFacilitator,14.99,1.05,0,0,0,0,0,0,0,0,-1.05,-2.25,-5.77,0,0,6.97
"Jul 1, 2025 1:44:49 AM PDT",23951944521,Order,111-5354926-4837862,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,",1,amazon.com,Standard Orders,Amazon,BALTIMORE,MD,21215,MarketplaceFacilitator,6.99,0.31,0,0,0,0,0,0,-1.75,0,-0.31,-0.79,-2.47,0,0,1.98
