"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Aug 1, 2025 12:07:27 AM PDT","24259853171","Order","112-8580786-9376247","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","4","amazon.com","Standard Orders","Amazon","ATWATER","CA","95301","MarketplaceFacilitator","27.96","1.84","0","0","0","0","0","0","-4.19","0","-1.84","-3.56","-9.88","0","0","10.33"
"Aug 1, 2025 1:31:24 AM PDT","24259853171","Order","114-3306530-1166626","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","2","amazon.com","Standard Orders","Amazon","DEANSBORO","NY","13328","MarketplaceFacilitator","29.98","2.44","0","0","0","0","0","0","-2.10","0","-2.44","-4.18","-11.54","0","0","12.16"
"Aug 1, 2025 2:32:01 AM PDT","24259853171","Order","112-0017524-5909058","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","SOUTH RIDING","VA","20152","MarketplaceFacilitator","14.99","0.90","0","0","0","0","0","0","0","0","-0.90","-2.25","-5.77","0","0","6.97"
"Aug 1, 2025 2:53:12 AM PDT","24259853171","Order","111-6999762-8424218","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","HYATTSVILLE","MD","20781","MarketplaceFacilitator","6.99","0.42","0","0","0","0","0","0","0","0","-0.42","-1.05","-2.47","0","0","3.47"
"Aug 1, 2025 3:30:15 AM PDT","24259853171","Order","112-9833763-4911447","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","Many","LA","71449","MarketplaceFacilitator","6.99","0.74","0.38","0","0","0","0","0","-0.38","0","-0.74","-1.05","-2.47","0","0","3.47"
"Aug 1, 2025 5:08:27 AM PDT","24259853171","Order","111-8813165-4697823","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","ERIE","PA","16506","MarketplaceFacilitator","6.99","0.36","0.30","0","0","0","0","0","-1.35","0","-0.72","-1.78","-2.47","0","0","1.33"
"Aug 1, 2025 5:08:27 AM PDT","24259853171","Order","111-8813165-4697823","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","ERIE","PA","16506","","6.99","0.36","0.30","0","0","0","0","0","-1.35","0","0","0","-2.47","0","0","3.83"
"Aug 1, 2025 5:32:36 AM PDT","24259853171","Order","111-8125690-0156229","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","HOUSTON","TX","77006","MarketplaceFacilitator","6.99","0.58","0","0","0","0","0","0","0","0","-0.58","-1.05","-2.47","0","0","3.47"
"Aug 1, 2025 5:34:09 AM PDT","24259853171","Order","112-7389979-2793021","hook02","KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clo","1","amazon.com","Standard Orders","Amazon","ONTARIO","CA","91761","MarketplaceFacilitator","29.99","2.62","0","0","0","0","0","0","0","0","-2.62","-4.50","-6.05","0","0","19.44"
"Aug 1, 2025 5:46:40 AM PDT","24259853171","Order","111-8731637-5009810","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","OAKLAND GARDENS","NY","11364","MarketplaceFacilitator","6.99","0.62","0","0","0","0","0","0","0","0","-0.62","-1.05","-2.47","0","0","3.47"
