"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Sep 1, 2025 12:09:55 AM PDT","24258881951","Order","111-5211441-5269843","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Invoiced Orders","Amazon","TIPP CITY","OH","45371","MarketplaceFacilitator","14.99","0","0.44","0","0","0","0","0","-0.44","0","0","-2.25","-5.77","0","0","6.97"
"Sep 1, 2025 1:52:35 AM PDT","24370016491","Order","112-7510838-1372214","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","CARY","NC","27513","MarketplaceFacilitator","14.99","1.09","0","0","0","0","0","0","0","0","-1.09","-2.25","-5.77","0","0","6.97"
"Sep 1, 2025 2:23:38 AM PDT","24370016491","Order","114-5962976-7623447","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","Stevenson","Maryland","21153","MarketplaceFacilitator","7.49","0.45","0","0","0","0","0","0","0","0","-0.45","-1.12","-2.47","0","0","3.90"
"Sep 1, 2025 2:33:42 AM PDT","24370016491","Order","114-6227797-9895435","hook02","KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clo","1","amazon.com","Standard Orders","Amazon","Sterling","VA","20166","MarketplaceFacilitator","24.99","1.50","0","0","0","0","0","0","0","0","-1.50","-3.75","-6.05","0","0","15.19"
"Sep 1, 2025 2:36:20 AM PDT","24370016491","Order","111-1359777-5789059","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","SUMNER","TX","75486","MarketplaceFacilitator","7.49","0.44","0","0","0","0","0","0","-0.90","0","-0.44","-0.99","-2.47","0","0","3.13"
"Sep 1, 2025 2:41:47 AM PDT","24370016491","Order","113-7384511-9056214","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","1","amazon.com","Standard Orders","Amazon","SAINT JOHNS","FL","32259","MarketplaceFacilitator","14.99","0.88","0","0","0","0","0","0","-1.50","0","-0.88","-2.02","-3.33","0","0","8.14"
"Sep 1, 2025 2:50:02 AM PDT","24370016491","Order","111-3558452-8733012","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","USAF Academy","CO","80840","MarketplaceFacilitator","7.49","0.34","0","0","0","0","0","0","-0.90","0","-0.34","-0.99","-2.47","0","0","3.13"
"Sep 1, 2025 4:00:50 AM PDT","24370016491","Order","113-5260117-9609010","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","RIVERSIDE","CA","92508","MarketplaceFacilitator","7.49","0.58","0","0","0","0","0","0","-0.90","0","-0.58","-0.99","-2.47","0","0","3.13"
"Sep 1, 2025 4:34:51 AM PDT","24370016491","Order","111-2908968-4157836","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","1","amazon.com","Standard Orders","Amazon","LOS ANGELES","CA","90045","MarketplaceFacilitator","14.99","1.32","0","0","0","0","0","0","-1.50","0","-1.32","-2.02","-3.33","0","0","8.14"
"Sep 1, 2025 4:58:14 AM PDT","24370016491","Refund","114-6227797-9895435","hook02","KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clo","1","amazon.com","Standard Orders","Amazon","Sterling","VA","20166","MarketplaceFacilitator","-24.99","-1.50","0","0","0","0","0","0","0","0","1.50","3.00","0","0","0","-21.99"
"Sep 1, 2025 5:03:42 AM PDT","24370016491","Order","111-7944319-5173036","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","NORTH AUGUSTA","SC","29860","MarketplaceFacilitator","7.49","0.60","0.75","0","0","0","0","0","-0.75","0","-1.20","-2.24","-2.47","0","0","2.18"
"Sep 1, 2025 5:03:42 AM PDT","24370016491","Order","111-7944319-5173036","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","NORTH AUGUSTA","SC","29860","","7.49","0.60","0.74","0","0","0","0","0","-0.74","0","0","0","-2.47","0","0","5.62"
"Sep 1, 2025 5:19:34 AM PDT","24370016491","Order","111-3066873-2078663","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","Ames","Iowa","50010","MarketplaceFacilitator","7.49","0.52","1.49","0","0","0","0","0","-1.49","0","-0.52","-1.12","-2.47","0","0","3.90"
"Sep 1, 2025 5:34:34 AM PDT","24370016491","Order","113-6431264-1301043","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","1","amazon.com","Standard Orders","Amazon","RICHMOND","VA","23222","MarketplaceFacilitator","14.99","0.81","0","0","0","0","0","0","-1.50","0","-0.81","-2.02","-3.33","0","0","8.14"
"Sep 1, 2025 6:04:27 AM PDT","24370016491","Order","113-6652201-0339456","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","1","amazon.com","Standard Orders","Amazon","ALTAMONT","NY","12009","MarketplaceFacilitator","14.99","1.08","0","0","0","0","0","0","-1.50","0","-1.08","-2.02","-3.33","0","0","8.14"
"Sep 1, 2025 6:21:43 AM PDT","24370016491","Order","114-6289952-4819420","T-tie-red002","KEOAMG 2Pack Tie Rack Hanger for Closet, Sleek Tie Organizer for Men with 18 Upgraded Folding Hooks, Space-Saving Tie Holder, Tie and Belt Hanger for","1","amazon.com","Standard Orders","Amazon","WARREN","NJ","07059","MarketplaceFacilitator","12.99","0.86","0","0","0","0","0","0","0","0","-0.86","-1.95","-3.24","0","0","7.80"
"Sep 1, 2025 6:22:36 AM PDT","24370016491","Order","114-2408422-7251431","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","1","amazon.com","Standard Orders","Amazon","BOERNE","TX","78006","MarketplaceFacilitator","14.99","1.11","0","0","0","0","0","0","-1.50","0","-1.11","-2.02","-3.33","0","0","8.14"
"Sep 1, 2025 6:51:48 AM PDT","24370016491","Order","114-2362147-9640240","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","Phoenix","AZ","85022","MarketplaceFacilitator","7.49","0.60","0","0","0","0","0","0","-0.90","0","-0.60","-0.99","-2.47","0","0","3.13"
"Sep 1, 2025 8:26:02 AM PDT","24370016491","Order","111-6098244-7450609","hook02","KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clo","1","amazon.com","Standard Orders","Amazon","ONEONTA","NY","13820","MarketplaceFacilitator","24.99","2.00","0","0","0","0","0","0","0","0","-2.00","-3.75","-6.05","0","0","15.19"
"Sep 1, 2025 9:02:55 AM PDT","24370016491","Refund","111-0388891-8218658","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","1","amazon.com","Standard Orders","Amazon","WILLISTON","VT","05495","MarketplaceFacilitator","-14.99","-0.94","0","0","0","0","0","0","1.50","0","0.94","1.62","0","0","0","-11.87"
"Sep 1, 2025 9:16:44 AM PDT","24370016491","Order","111-4156871-4635460","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","ANNAPOLIS","MD","21401","MarketplaceFacilitator","7.49","0.45","0","0","0","0","0","0","0","0","-0.45","-1.12","-2.47","0","0","3.90"
"Sep 1, 2025 9:20:36 AM PDT","24370016491","Order","111-9150341-4122635","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","ROCHESTER","NY","14623","MarketplaceFacilitator","14.99","1.20","0","0","0","0","0","0","0","0","-1.20","-2.25","-5.77","0","0","6.97"
"Sep 1, 2025 11:52:32 AM PDT","24370016491","Service Fee","FBA18XXXZS68","","FBA Inbound Placement Service Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sep 1, 2025 2:20:56 PM PDT","24370016491","Refund","112-2338962-6850629","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","MONTEBELLO","CA","90640","MarketplaceFacilitator","-7.49","-0.69","0","0","0","0","0","0","0.90","0","0.69","0.79","0","0","0","-5.80"
"Sep 1, 2025 4:52:03 PM PDT","24370016491","Adjustment","","T-tie-red01","FBA Inventory Reimbursement - Damaged:Warehouse","1","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.73","1.73"
"Sep 1, 2025 11:55:17 PM PDT","24420156391","Order","114-8804585-5507461","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","Marion","IA","52302","MarketplaceFacilitator","14.99","1.05","0","0","0","0","0","0","0","0","-1.05","-2.25","-5.77","0","0","6.97"
"Sep 1, 2025 11:58:07 PM PDT","24420156391","Order","114-0047018-5200218","T-tie-black01","KEOAMG Tie Rack Hanger for Closet, Sleek Tie Hangers for Men with 18 Upgraded Folding Hooks, Space-Saving Tie Holder Neck Tie Organizer for Men Ties,","1","amazon.com","Standard Orders","Amazon","Manassas","VA","20110","MarketplaceFacilitator","8.49","0.51","0","0","0","0","0","0","0","0","-0.51","-1.27","-2.47","0","0","4.75"
"Sep 2, 2025 12:03:10 AM PDT","24420156391","Order","113-0984044-6990643","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","BROOKLYN","NY","11238","MarketplaceFacilitator","14.99","1.33","0","0","0","0","0","0","0","0","-1.33","-2.25","-5.77","0","0","6.97"
"Sep 2, 2025 12:53:09 AM PDT","24420156391","Order","111-5810701-9945040","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","BLOOMINGTON","IN","47404","MarketplaceFacilitator","7.49","0.52","0","0","0","0","0","0","0","0","-0.52","-1.12","-2.47","0","0","3.90"
"Sep 2, 2025 12:58:35 AM PDT","24420156391","Order","112-3198373-1385863","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","SOUTHPORT","CT","06890","MarketplaceFacilitator","14.99","0.95","0","0","0","0","0","0","0","0","-0.95","-2.25","-5.77","0","0","6.97"
"Sep 2, 2025 1:06:56 AM PDT","24420156391","Order","114-5905666-7949025","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","LOS ANGELES","CA","90012","MarketplaceFacilitator","7.49","0.73","0","0","0","0","0","0","0","0","-0.73","-1.12","-2.47","0","0","3.90"
"Sep 2, 2025 1:23:24 AM PDT","24420156391","Order","114-3926171-1697865","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","SAN DIEGO","CA","92103","MarketplaceFacilitator","7.49","0.58","0","0","0","0","0","0","0","0","-0.58","-1.12","-2.47","0","0","3.90"
"Sep 2, 2025 1:44:52 AM PDT","24420156391","Order","114-2879357-4322615","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","Ham Lake","MN","55304","MarketplaceFacilitator","7.49","0.54","0","0","0","0","0","0","-0.90","0","-0.54","-0.99","-2.47","0","0","3.13"
"Sep 2, 2025 1:44:53 AM PDT","24420156391","Order","112-8325439-0245801","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","WARWICK","RI","02888","MarketplaceFacilitator","7.49","0.46","0","0","0","0","0","0","-0.90","0","-0.46","-0.99","-2.47","0","0","3.13"
"Sep 2, 2025 1:45:03 AM PDT","24420156391","Order","111-1393607-3473011","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","BLOOMINGTON","IN","47406","MarketplaceFacilitator","14.99","1.05","0","0","0","0","0","0","0","0","-1.05","-2.25","-5.77","0","0","6.97"
"Sep 2, 2025 1:56:10 AM PDT","24420156391","Order","114-9501076-4597814","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","1","amazon.com","Standard Orders","Amazon","ALPHARETTA","GA","30022","MarketplaceFacilitator","14.99","1.16","0","0","0","0","0","0","0","0","-1.16","-2.25","-3.33","0","0","9.41"
"Sep 2, 2025 1:59:09 AM PDT","24420156391","Order","112-7066889-0220222","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","NASHVILLE","TN","37205","MarketplaceFacilitator","7.49","0.73","0","0","0","0","0","0","0","0","-0.73","-1.12","-2.47","0","0","3.90"
"Sep 2, 2025 3:16:21 AM PDT","24420156391","Order","113-7761918-2329000","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","SAN JOSE","CA","95133","MarketplaceFacilitator","7.49","0.70","0.11","0","0","0","0","0","-0.11","0","-0.70","-1.12","-2.47","0","0","3.90"
"Sep 2, 2025 3:19:55 AM PDT","24420156391","Order","111-9557302-8952220","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","SUMMERVILLE","SC","29483","MarketplaceFacilitator","7.49","0.46","0","0","0","0","0","0","-0.90","0","-0.46","-0.99","-2.47","0","0","3.13"
"Sep 2, 2025 3:38:58 AM PDT","24420156391","Order","114-0038913-7829015","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","TUCSON","AZ","85719","MarketplaceFacilitator","14.99","1.30","0","0","0","0","0","0","0","0","-1.30","-2.25","-5.77","0","0","6.97"
"Sep 2, 2025 4:40:54 AM PDT","24420156391","Order","114-2676637-3659416","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","BERRYVILLE","VA","22611","MarketplaceFacilitator","7.49","0.35","0","0","0","0","0","0","-0.90","0","-0.35","-0.99","-2.47","0","0","3.13"
"Sep 2, 2025 4:59:28 AM PDT","24420156391","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-489.02","0","-489.02"
"Sep 2, 2025 5:02:21 AM PDT","24420156391","Order","112-7306503-8169850","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","BALTIMORE","MD","21209","MarketplaceFacilitator","7.49","0.40","0","0","0","0","0","0","-0.90","0","-0.40","-0.99","-2.47","0","0","3.13"
"Sep 2, 2025 6:04:35 AM PDT","24420156391","Order","112-6073474-1226642","T-tie-red002","KEOAMG 2Pack Tie Rack Hanger for Closet, Sleek Tie Organizer for Men with 18 Upgraded Folding Hooks, Space-Saving Tie Holder, Tie and Belt Hanger for","1","amazon.com","Standard Orders","Amazon","Reading","PA","19606","MarketplaceFacilitator","12.99","0.76","0","0","0","0","0","0","0","0","-0.76","-1.95","-3.24","0","0","7.80"
"Sep 2, 2025 6:04:58 AM PDT","24420156391","Order","111-8557245-3205017","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","1","amazon.com","Standard Orders","Amazon","RIDGECREST","CA","93555","MarketplaceFacilitator","14.99","1.25","0","0","0","0","0","0","-1.50","0","-1.25","-2.02","-3.33","0","0","8.14"
"Sep 2, 2025 6:08:00 AM PDT","24420156391","Order","114-9855890-4385824","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","GRAND PRAIRIE","TX","75052","MarketplaceFacilitator","7.49","0.54","0","0","0","0","0","0","-0.90","0","-0.54","-0.99","-2.47","0","0","3.13"
"Sep 2, 2025 6:43:08 AM PDT","24420156391","Order","112-4556596-4695449","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","WILLIAMSVILLE","NY","14221","MarketplaceFacilitator","7.49","0.66","1.50","0","0","0","0","0","-1.50","0","-0.66","-1.12","-2.47","0","0","3.90"
"Sep 2, 2025 7:17:06 AM PDT","24420156391","Order","113-0164658-6980241","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","Mathis","Texas","78368","MarketplaceFacilitator","7.49","0.51","0","0","0","0","0","0","0","0","-0.51","-1.12","-2.47","0","0","3.90"
"Sep 2, 2025 8:16:26 AM PDT","24420156391","Order","111-3301146-9861809","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","FRANKLIN FURNACE","OH","45629","MarketplaceFacilitator","7.49","0.48","0","0","0","0","0","0","-0.90","0","-0.48","-0.99","-2.47","0","0","3.13"
"Sep 2, 2025 8:26:05 AM PDT","24420156391","Order","113-4991202-6176201","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","Arcadia","OK","73007","MarketplaceFacilitator","7.49","0.64","0","0","0","0","0","0","0","0","-0.64","-1.12","-2.47","0","0","3.90"
"Sep 2, 2025 8:39:11 AM PDT","24420156391","Order","112-5374254-7501011","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","AVON","CT","06001","MarketplaceFacilitator","7.49","0.48","0","0","0","0","0","0","0","0","-0.48","-1.12","-2.47","0","0","3.90"
"Sep 2, 2025 9:01:07 AM PDT","24420156391","Order","111-7197788-4132207","hook02","KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clo","1","amazon.com","Standard Orders","Amazon","NEEDHAM HEIGHTS","MA","02494","MarketplaceFacilitator","24.99","1.56","0","0","0","0","0","0","0","0","-1.56","-3.75","-6.05","0","0","15.19"
"Sep 2, 2025 9:07:41 AM PDT","24420156391","Order","111-8702907-5860265","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","1","amazon.com","Standard Orders","Amazon","COLUMBUS","OH","43229","MarketplaceFacilitator","14.99","1.08","0","0","0","0","0","0","-1.50","0","-1.08","-2.02","-3.33","0","0","8.14"
"Sep 2, 2025 9:07:51 AM PDT","24420156391","Order","114-5585806-9386649","hook02","KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clo","1","amazon.com","Standard Orders","Amazon","ORLANDO","FL","32832","MarketplaceFacilitator","24.99","1.62","0","0","0","0","0","0","0","0","-1.62","-3.75","-6.05","0","0","15.19"
"Sep 2, 2025 9:13:39 AM PDT","24420156391","Order","111-4009525-8629830","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts,","1","amazon.com","Standard Orders","Amazon","PATCHOGUE","NY","11772","MarketplaceFacilitator","7.49","0.58","0","0","0","0","0","0","-0.90","0","-0.58","-0.99","-2.47","0","0","3.13"
"Sep 2, 2025 12:26:11 PM PDT","24420156391","Refund","114-9397318-8769018","tie-wall-02white","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Tie Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet, W","1","amazon.com","Standard Orders","Amazon","LINCROFT","NJ","07738","MarketplaceFacilitator","-26.99","-1.79","0","0","0","0","0","0","0","0","1.79","3.24","0","0","0","-23.75"
