"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","dangerous_goods_storage_type","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B0C538JL1X","X003TKCFCF","KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clothes, Towels, Hats, Matte Black","'XMD3'","US","17.6","4.17","3.9","inches","2.38","pounds","0.1656","cubic feet","Standard-Size","12.0","0.0","1.9877","2025-08","10.8","weeks","0.78","0.0","11.16","1.8488","1.55","0.0","USD","1.55","--","N","N","0.0","--","0.0"
"B0DHL54ZV4","X004EJ05W7","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)","'XPH8'","US","13.43","4.06","0.59","inches","0.29","pounds","0.0186","cubic feet","Standard-Size","88.0","0.0","1.6383","2025-08","10.8","weeks","0.78","0.0","0.0","0.0","1.28","0.0","USD","1.28","--","N","N","0.0","--","0.0"
"B0BMF6VST8","X003IDW07X","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, Towels, Hats, Matte Black","'XSL2'","US","17.48","4.29","3.7","inches","1.32","pounds","0.1606","cubic feet","Standard-Size","10.84","0.0","1.7403","2025-08","10.8","weeks","0.78","0.0","10.74","1.7248","1.36","0.0","USD","1.36","--","N","N","0.0","--","0.0"
"B0DDX41KTY","X004DA8SY9","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Tie Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet, White","'ABE2'","US","14.33","4.45","0.63","inches","0.75","pounds","0.0232","cubic feet","Standard-Size","0.32","0.0","0.0075","2025-08","10.8","weeks","0.78","0.0","0.0","0.0","0.004","0.0","USD","0.004","--","N","N","0.0","--","0.0"
"B0DHL54ZV4","X004EJ05W7","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)","'ABE2'","US","13.43","4.06","0.59","inches","0.29","pounds","0.0186","cubic feet","Standard-Size","0.61","0.0","0.0114","2025-08","10.8","weeks","0.78","0.0","0.61","0.0114","0.006","0.0","USD","0.006","--","N","N","0.0","--","0.0"
"B0DDX41KTY","X004DA8SY9","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Tie Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet, White","'ABQ1'","US","14.33","4.45","0.63","inches","0.75","pounds","0.0232","cubic feet","Standard-Size","0.29","0.0","0.0067","2025-08","10.8","weeks","0.78","0.0","0.16","0.0037","0.0051","0.0","USD","0.0051","--","N","N","0.0","--","0.0"
"B0DDXB7T2H","X004DAC1AV","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet Wall Mount, Black","'ABQ1'","US","14.29","3.7","0.51","inches","0.49","pounds","0.0156","cubic feet","Standard-Size","1.65","0.0","0.0257","2025-08","10.8","weeks","0.78","0.0","1.65","0.0257","0.0195","0.0","USD","0.0195","--","N","N","0.0","--","0.0"
"B0DHQ8QGQG","X004EJ051D","KEOAMG Tie Rack Hanger for Closet, Sleek Tie Hangers for Men with 18 Upgraded Folding Hooks, Space-Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Black)","'ABQ1'","US","13.43","4.49","0.71","inches","0.35","pounds","0.0248","cubic feet","Standard-Size","0.77","0.0","0.0192","2025-08","10.8","weeks","0.78","0.0","0.19","0.0048","0.0146","0.0","USD","0.0146","--","N","N","0.0","--","0.0"
"B0DHL54ZV4","X004EJ05W7","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)","'ABQ1'","US","13.43","4.06","0.59","inches","0.29","pounds","0.0186","cubic feet","Standard-Size","11.0","0.0","0.2048","2025-08","10.8","weeks","0.78","0.0","11.0","0.2048","0.1568","0.0","USD","0.1568","--","N","N","0.0","--","0.0"
"B0FDFSKK4L","X004Q4DZLX","KEOAMG 2Pack Tie Rack Hanger for Closet, Sleek Tie Organizer for Men with 18 Upgraded Folding Hooks, Space-Saving Tie Holder, Tie and Belt Hanger for Closet (Mahogany)","'ABQ1'","US","13.58","6.38","0.75","inches","0.75","pounds","0.0376","cubic feet","Standard-Size","0.84","0.0","0.0315","2025-08","10.8","weeks","0.78","0.0","0.03","0.0012","0.024","0.0","USD","0.024","--","N","N","0.0","--","0.0"
