date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"Jan 1, 2026 12:24:43 AM PST",25244752801,Order,114-5351042-3089021,tie-wall-02black,"KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W",2,amazon.com,Standard Orders,Amazon,WEST HOLLYWOOD,CA,90069,MarketplaceFacilitator,29.98,3.14,0,0,0,0,0,0,0,0,-3.14,-4.5,-7.7,0,0,17.78
"Jan 1, 2026 12:45:59 AM PST",25244752801,Order,114-2666129-8047428,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Wooden Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, B",1,amazon.com,Standard Orders,Amazon,PEORIA,AZ,85383,MarketplaceFacilitator,6.99,0.57,0,0,0,0,0,0,0,0,-0.57,-1.05,-2.67,0,0,3.27
"Jan 1, 2026 1:09:46 AM PST",25244752801,Order,113-3030023-6671447,tie-wall-02black,"KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W",1,amazon.com,Standard Orders,Amazon,LOS ANGELES,CA,90064,MarketplaceFacilitator,14.99,1.46,0,0,0,0,0,0,0,0,-1.46,-2.25,-3.85,0,0,8.89
"Jan 1, 2026 1:16:24 AM PST",25244752801,Order,113-1357579-7283431,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Wooden Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, B",2,amazon.com,Standard Orders,Amazon,Memphis,TN,38118,MarketplaceFacilitator,13.98,1.36,0,0,0,0,0,0,0,0,-1.36,-2.1,-5.34,0,0,6.54
"Jan 1, 2026 1:31:36 AM PST",25244752801,Order,112-9095392-2818616,hook01-white,"KEOAMG Over The Door Hooks, Over The Door Towel Rack for Bathroom, Sturdy Door Hanger Hook, Door Hooks for Hanging Clothes, Coats, Towels, White",1,amazon.com,Standard Orders,Amazon,MANSFIELD,OH,44906,MarketplaceFacilitator,19.99,1.4,0,0,0,0,0,0,0,0,-1.4,-3,-6.1,0,0,10.89
"Jan 1, 2026 1:36:11 AM PST",25244752801,Order,112-4102246-8129039,hook01-white,"KEOAMG Over The Door Hooks, Over The Door Towel Rack for Bathroom, Sturdy Door Hanger Hook, Door Hooks for Hanging Clothes, Coats, Towels, White",1,amazon.com,Standard Orders,Amazon,MANSFIELD,OH,44906,MarketplaceFacilitator,19.99,1.4,0,0,0,0,0,0,0,0,-1.4,-3,-6.1,0,0,10.89
"Jan 1, 2026 1:53:27 AM PST",25244752801,Order,112-7478807-5697009,hook01-white,"KEOAMG Over The Door Hooks, Over The Door Towel Rack for Bathroom, Sturdy Door Hanger Hook, Door Hooks for Hanging Clothes, Coats, Towels, White",1,amazon.com,Standard Orders,Amazon,SONOMA,CA,95476,MarketplaceFacilitator,20.99,1.94,0,0,0,0,0,0,0,0,-1.94,-3.15,-6.1,0,0,11.74
"Jan 1, 2026 1:55:17 AM PST",25244752801,Order,111-6040060-1180249,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Wooden Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, B",1,amazon.com,Standard Orders,Amazon,HOUSTON,TX,77004,MarketplaceFacilitator,6.99,0.58,0,0,0,0,0,0,0,0,-0.58,-1.05,-2.67,0,0,3.27
"Jan 1, 2026 2:01:40 AM PST",25244752801,Order,111-9352091-6533022,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Wooden Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, B",1,amazon.com,Standard Orders,Amazon,BEDFORD,MA,1730,MarketplaceFacilitator,6.99,0.44,0,0,0,0,0,0,0,0,-0.44,-1.05,-2.67,0,0,3.27
"Jan 1, 2026 2:28:26 AM PST",25244752801,Order,112-8634088-2941865,T-tie-red01,"KEOAMG Tie Rack Hanger for Closet, Wooden Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, B",2,amazon.com,Standard Orders,Amazon,Thomasvile,Ga,31792,MarketplaceFacilitator,13.98,1.12,0,0,0,0,0,0,0,0,-1.12,-2.1,-5.34,0,0,6.54
