"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"date/time: posted date/time of the transaction"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total","Transaction Status","Transaction Release Date"
"Mar 1, 2026 12:16:45 AM PST","25896582751","Order","114-1253509-1686652","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","1","amazon.com","Standard Orders","Amazon","SEGUIN","TX","78155","MarketplaceFacilitator","19.99","1.65","0","0","0","0","0","0","0","0","-1.65","-3.00","-3.54","0","0","13.45","Released","Mar 8, 2026 11:21:46 PM PDT"
"Mar 1, 2026 12:34:15 AM PST","25896582751","Order","114-9460678-9782669","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","1","amazon.com","Standard Orders","Amazon","HUMBLE","TX","77346","MarketplaceFacilitator","19.99","1.45","0","0","0","0","0","0","0","0","-1.45","-3.00","-3.54","0","0","13.45","Released","Mar 9, 2026 5:47:50 AM PDT"
"Mar 1, 2026 1:38:45 AM PST","25896582751","Order","112-9089042-0253020","T-tie-red01","KEOAMG Tie Rack Hanger for Closet, Wooden Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, B","1","amazon.com","Standard Orders","Amazon","CHARLOTTESVILLE","VA","22902","MarketplaceFacilitator","5.99","0.32","0","0","0","0","0","0","0","0","-0.32","-0.90","-2.56","0","0","2.53","Released","Mar 9, 2026 8:37:13 AM PDT"
"Mar 1, 2026 1:42:58 AM PST","25896582751","Order","113-2462198-7458631","hook02","KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clo","1","amazon.com","Standard Orders","Amazon","MCDONOUGH","GA","30253","MarketplaceFacilitator","24.99","2.00","0","0","0","0","0","0","0","0","-2.00","-3.75","-6.10","0","0","15.14","Released","Mar 9, 2026 6:08:18 PM PDT"
"Mar 1, 2026 2:11:41 AM PST","25896582751","Order","112-3224046-9473830","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","1","amazon.com","Standard Orders","Amazon","LINCOLN","NE","68516","MarketplaceFacilitator","19.99","1.45","0","0","0","0","0","0","0","0","-1.45","-3.00","-3.54","0","0","13.45","Released","Mar 9, 2026 1:06:48 AM PDT"
"Mar 1, 2026 2:16:55 AM PST","25896582751","Order","111-0550382-3139434","tie-wall-02black","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet W","1","amazon.com","Standard Orders","Amazon","HOUSTON","TX","77007","MarketplaceFacilitator","19.99","1.65","0","0","0","0","0","0","0","0","-1.65","-3.00","-3.54","0","0","13.45","Released","Mar 9, 2026 5:35:26 AM PDT"
"Mar 1, 2026 6:01:59 AM PST","25896582751","Order","114-1824887-0676200","tie-wall-02white","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Tie Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet, W","1","amazon.com","Standard Orders","Amazon","NORTH WALES","PA","19454","MarketplaceFacilitator","19.99","1.20","0","0","0","0","0","0","0","0","-1.20","-3.00","-3.78","0","0","13.21","Released","Mar 10, 2026 2:03:02 PM PDT"
"Mar 1, 2026 7:04:28 AM PST","25896582751","Order","111-3033584-2330600","hook02","KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clo","1","amazon.com","Standard Orders","Amazon","UNION CITY","NJ","07087","MarketplaceFacilitator","24.99","1.66","0","0","0","0","0","0","0","0","-3.32","-7.50","-6.10","0","0","9.73","Released","Mar 9, 2026 5:25:02 PM PDT"
"Mar 1, 2026 7:04:28 AM PST","25896582751","Order","111-3033584-2330600","hook02","KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clo","1","amazon.com","Standard Orders","Amazon","UNION CITY","NJ","07087","","24.99","1.66","0","0","0","0","0","0","0","0","0","0","-6.10","0","0","20.55","Released","Mar 9, 2026 5:25:02 PM PDT"
"Mar 1, 2026 9:02:01 AM PST","25896582751","Order","111-7997396-3469062","hook01","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, To","1","amazon.com","Standard Orders","Amazon","SEBRING","FL","33875","MarketplaceFacilitator","19.99","1.50","0","0","0","0","0","0","0","0","-1.50","-3.00","-5.82","0","0","11.17","Released","Mar 10, 2026 12:11:15 AM PDT"
"Mar 1, 2026 10:42:20 AM PST","25787576751","Adjustment","","hook01","FBA Inventory Reimbursement - Damaged:Warehouse","1","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.84","3.84","Released","Mar 1, 2026 10:42:20 AM PST"
"Mar 1, 2026 11:52:40 AM PST","25896582751","Order","112-9894216-9423412","tie-wall-02white","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Tie Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet, W","1","amazon.com","Standard Orders","Amazon","SOUTHERN PINES","NC","28387","MarketplaceFacilitator","19.99","1.40","0","0","0","0","0","0","0","0","-1.40","-3.00","-3.78","0","0","13.21","Released","Mar 12, 2026 3:22:49 AM PDT"
