"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","dangerous_goods_storage_type","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B0DDXB7T2H","X004DAC1AV","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet Wall Mount, Black","'ABE8'","US","14.29","3.7","0.51","inches","0.49","pounds","0.0156","cubic feet","Standard-Size","0.64","0.0","0.01","2026-02","5.9","weeks","0.78","0.0","0.0","0.0","0.0077","0.0","USD","0.0077","--","N","N","0.0","--","0.0"
"B0DHL54ZV4","X004EJ05W7","KEOAMG Tie Rack Hanger for Closet, Wooden Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)","'ABE8'","US","12.99","6.18","0.75","inches","0.37","pounds","0.0348","cubic feet","Standard-Size","2.32","0.0","0.0809","2026-02","5.9","weeks","0.78","0.0","0.0","0.0","0.0623","0.0","USD","0.0623","--","N","N","0.0","--","0.0"
"B0D4MCXCC6","X0048XOI7H","KEOAMG Over The Door Hooks, Over The Door Towel Rack for Bathroom, Sturdy Door Hanger Hook, Door Hooks for Hanging Clothes, Coats, Towels, White","'ABQ1'","US","17.32","4.37","3.54","inches","1.3","pounds","0.1551","cubic feet","Standard-Size","2.39","0.0","0.3655","2026-02","5.9","weeks","0.78","0.0","2.36","0.3655","0.2834","0.0","USD","0.2834","--","N","N","0.0","--","0.04"
"B0DDXB7T2H","X004DAC1AV","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet Wall Mount, Black","'ABQ1'","US","14.29","3.7","0.51","inches","0.49","pounds","0.0156","cubic feet","Standard-Size","1.18","0.0","0.0173","2026-02","5.9","weeks","0.78","0.0","0.39","0.0061","0.0134","0.0","USD","0.0134","--","N","N","0.0","--","0.07"
"B0DHL54ZV4","X004EJ05W7","KEOAMG Tie Rack Hanger for Closet, Wooden Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)","'ABQ1'","US","12.99","6.18","0.75","inches","0.37","pounds","0.0348","cubic feet","Standard-Size","0.86","0.0","0.0299","2026-02","5.9","weeks","0.78","0.0","0.64","0.0224","0.0232","0.0","USD","0.0232","--","N","N","0.0","--","0.0"
"B0BMF6VST8","X003IDW07X","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, Towels, Hats, Matte Black","'ACY1'","US","17.04","4.37","3.7","inches","1.26","pounds","0.1594","cubic feet","Standard-Size","0.11","0.0","0.0057","2026-02","5.9","weeks","0.78","0.0","0.04","0.0057","0.0046","0.0","USD","0.0046","--","N","N","0.0","--","0.07"
"B0C538JL1X","X003TKCFCF","KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clothes, Towels, Hats, Matte Black","'ACY1'","US","17.52","4.49","3.94","inches","2.38","pounds","0.1794","cubic feet","Standard-Size","1.21","0.0","0.1153","2026-02","5.9","weeks","0.78","0.0","0.64","0.1153","0.094","0.0","USD","0.094","--","N","N","0.0799","COVID-19:0.0799","0.0"
"B0DDXB7T2H","X004DAC1AV","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet Wall Mount, Black","'ACY1'","US","14.29","3.7","0.51","inches","0.49","pounds","0.0156","cubic feet","Standard-Size","0.14","0.0","0.0017","2026-02","5.9","weeks","0.78","0.0","0.07","0.0011","0.0014","0.0","USD","0.0014","--","N","N","0.0","--","0.04"
"B0DDXB7T2H","X004DAC1AV","KEOAMG 2Pack Tie Rack Wall Mounted, Wooden Belt Hanger Tie Organizer for Men with 28 Folding Hooks, Space Saving Tie Holder and Belt Rack for Closet Wall Mount, Black","'AFW1'","US","14.29","3.7","0.51","inches","0.49","pounds","0.0156","cubic feet","Standard-Size","0.25","0.0","0.0039","2026-02","5.9","weeks","0.78","0.0","0.07","0.0011","0.0032","0.0","USD","0.0032","--","N","N","0.0","--","0.0"
"B0DHL54ZV4","X004EJ05W7","KEOAMG Tie Rack Hanger for Closet, Wooden Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)","'AFW1'","US","12.99","6.18","0.75","inches","0.37","pounds","0.0348","cubic feet","Standard-Size","4.18","0.0","0.1443","2026-02","5.9","weeks","0.78","0.0","1.43","0.0498","0.1168","0.0","USD","0.1168","--","N","N","0.0","--","0.04"
